created_at,entry_id,Temperature,Humidity,Soil Moisture,Turbity percentage
2025-06-01 00:00:00,1,26.1,60.4,3691,54
2025-06-01 00:01:26,2,25.0,61.8,3620,57
2025-06-01 00:02:52,3,24.8,62.6,3815,58
2025-06-01 00:04:18,4,25.5,61.9,3837,54
2025-06-01 00:05:44,5,26.3,61.3,3606,59
2025-06-01 00:07:10,6,26.8,61.2,3779,56
2025-06-01 00:08:36,7,26.1,61.5,3901,57
2025-06-01 00:10:02,8,25.4,62.2,3797,56
2025-06-01 00:11:28,9,25.8,59.0,3770,56
2025-06-01 00:12:54,10,25.1,59.1,3935,53
2025-06-01 00:14:20,11,25.6,62.5,3851,57
2025-06-01 00:15:46,12,25.5,60.7,3738,57
2025-06-01 00:17:12,13,25.9,61.7,3863,55
2025-06-01 00:18:38,14,25.8,61.7,3784,56
2025-06-01 00:20:04,15,25.0,60.7,3825,56
2025-06-01 00:21:30,16,25.7,61.8,3771,58
2025-06-01 00:22:56,17,26.0,60.2,3690,54
2025-06-01 00:24:22,18,25.7,63.2,3761,56
2025-06-01 00:25:48,19,25.4,62.0,3836,59
2025-06-01 00:27:14,20,26.8,61.1,3764,52
2025-06-01 00:28:40,21,25.8,61.0,3815,59
2025-06-01 00:30:06,22,25.4,61.7,4000,53
2025-06-01 00:31:32,23,25.3,61.2,3798,56
2025-06-01 00:32:58,24,26.3,62.1,3781,55
2025-06-01 00:34:24,25,25.7,62.1,3954,59
2025-06-01 00:35:50,26,26.3,61.7,3640,57
2025-06-01 00:37:16,27,25.6,60.3,3703,54
2025-06-01 00:38:42,28,25.7,61.1,3841,56
2025-06-01 00:40:08,29,24.8,60.0,3674,54
2025-06-01 00:41:34,30,25.0,59.9,3815,54
2025-06-01 00:43:00,31,25.1,61.2,3838,60
2025-06-01 00:44:26,32,25.1,62.5,3760,55
2025-06-01 00:45:52,33,25.0,61.4,3651,55
2025-06-01 00:47:18,34,25.9,61.4,3825,56
2025-06-01 00:48:44,35,25.8,61.6,3975,59
2025-06-01 00:50:10,36,25.6,61.4,3992,59
2025-06-01 00:51:36,37,25.8,60.3,3898,59
2025-06-01 00:53:02,38,26.3,61.4,3741,57
2025-06-01 00:54:28,39,26.0,62.0,3609,52
2025-06-01 00:55:54,40,26.0,59.9,3718,56
2025-06-01 00:57:20,41,25.4,60.8,3916,56
2025-06-01 00:58:46,42,26.0,61.8,3796,53
2025-06-01 01:00:12,43,26.1,61.4,3717,55
2025-06-01 01:01:38,44,26.0,61.9,3944,53
2025-06-01 01:03:04,45,25.0,60.1,3714,52
2025-06-01 01:04:30,46,25.8,62.7,3966,54
2025-06-01 01:05:56,47,25.1,62.0,3500,54
2025-06-01 01:07:22,48,25.9,61.8,3830,57
2025-06-01 01:08:48,49,26.0,61.2,3678,53
2025-06-01 01:10:14,50,25.7,61.5,3761,56
2025-06-01 01:11:40,51,25.7,63.5,3890,59
2025-06-01 01:13:06,52,25.1,61.2,3886,54
2025-06-01 01:14:32,53,25.6,62.3,3848,54
2025-06-01 01:15:58,54,26.4,59.3,3851,55
2025-06-01 01:17:24,55,25.3,63.0,3533,56
2025-06-01 01:18:50,56,24.8,62.4,3609,58
2025-06-01 01:20:16,57,25.7,62.7,3875,55
2025-06-01 01:21:42,58,26.4,61.3,3715,56
2025-06-01 01:23:08,59,25.5,59.1,3813,57
2025-06-01 01:24:34,60,25.1,60.0,3791,55
2025-06-01 01:26:00,61,26.4,59.6,3847,56
2025-06-01 01:27:26,62,25.6,62.9,3942,58
2025-06-01 01:28:52,63,25.5,63.3,3934,56
2025-06-01 01:30:18,64,25.5,61.9,3957,56
2025-06-01 01:31:44,65,25.4,60.8,3745,57
2025-06-01 01:33:10,66,26.5,60.8,3673,54
2025-06-01 01:34:36,67,25.4,61.1,3689,56
2025-06-01 01:36:02,68,25.5,60.2,3787,55
2025-06-01 01:37:28,69,26.2,61.5,3824,56
2025-06-01 01:38:54,70,25.7,60.5,3802,56
2025-06-01 01:40:20,71,26.0,60.7,3690,56
2025-06-01 01:41:46,72,25.4,61.6,3793,56
2025-06-01 01:43:12,73,25.8,61.4,3665,52
2025-06-01 01:44:38,74,26.1,61.3,3645,57
2025-06-01 01:46:04,75,26.2,61.3,3713,55
